 Daily Wholesale Price Bulletin	
Saturday, October 12-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	50	55	53	
Tomato Small	Kg	60	70	66	
Potato Red	Kg	30	32	31	
Potato White	Kg	20	22	21	
Onion Dry	Kg	90	100	96	
Carrot	Kg	90	100	97	
Cabbage	Kg	28	30	29	
Cauli Local	Kg	45	50	48	
Raddish Red	Kg	40	45	43	
Raddish White	Kg	30	35	33	
Brinjal Long	Kg	25	30	28	
Cow pea	Kg	50	55	53	
Green Peas	Kg	100	110	105	
French Bean	Kg	40	45	42	
Sword Bean	Kg	40	45	43	
Bitter Gourd	Kg	40	45	43	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	40	45	43	
Snake Gourd	Kg	25	30	28	
Smooth Gourd	Kg	40	50	44	
Pumpkin	Kg	10	15	13	
Squash	Kg	18	20	19	
Okara	Kg	50	55	53	
Barela	Kg	40	45	43	
Arum	Kg	35	40	38	
Christophine	Kg	10	15	13	
Brd Leaf Mustard	Kg	25	30	28	
Spinach Leaf	Kg	25	30	28	
Cress Leaf	Kg	25	30	28	
Mustard Leaf	Kg	25	30	28	
Fenugreek Leaf	Kg	45	50	48	
Onion Green	Kg	75	80	78	
Mushroom	Kg	180	200	190	
Asparagus	Kg	200	250	225	
Sugarbeet	Kg	60	70	65	
Drumstick	Kg	110	120	115	
Lettuce	Kg	45	50	48	
Celery	Kg	120	130	125	
Parseley	Kg	45	50	48	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	140	150	145	
Turnip A	Kg	55	60	58	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	50	60	55	
Tofu	Kg	60	70	67	
Gundruk	Kg	180	200	190	
Apple	Kg	130	140	135	
Banana	Doz	50	60	55	
Lime	100 Pcs	400	500	450	
Pomegranate	Kg	220	240	233	
Orange	Kg	80	90	87	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	60	70	65	
Lemon	Kg	30	35	33	
Papaya	Kg	55	60	58	
Guava	Kg	30	35	33	
Mombin	Kg	25	30	28	
Sugarcane	1 Pc	70	80	75	
Ginger	Kg	140	150	145	
Chilli Dry	Kg	160	170	163	
Chilli Green	Kg	80	90	85	
Capsicum	Kg	140	150	145	
Garlic Green	Kg	80	85	83	
Coriander Green	Kg	90	100	97	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	80	90	85	
Clive Dry	Kg	110	120	115	
Fish Fresh	Kg	220	240	230	
