 Daily Wholesale Price Bulletin	
Monday, October 20-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	50	55	53	
Tomato Small	Kg	45	50	48	
Potato Red	Kg	63	65	64	
Potato White	Kg	48	52	50	
Onion Dry	Kg	39	41	40	
Carrot	Kg	70	80	75	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	45	50	48	
Raddish Red	Kg	30	35	33	
Raddish White	Kg	18	22	20	
Brinjal Long	Kg	20	25	23	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	60	65	63	
Green Peas	Kg	80	90	85	
French Bean	Kg	40	45	43	
Sword Bean	Kg	80	85	83	
Bitter Gourd	Kg	50	55	53	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	35	40	38	
Pumpkin	Kg	25	30	28	
Squash	Kg	20	24	22	
Okara	Kg	70	80	75	
Barela	Kg	25	30	28	
Arum	Kg	32	35	34	
Christophine	Kg	7	8	8	
Brd Leaf Mustard	Kg	40	50	45	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	80	90	85	
Mustard Leaf	Kg	45	50	48	
Fenugreek Leaf	Kg	80	90	87	
Onion Green	Kg	60	70	65	
Yam	Kg	40	45	43	
Mushroom	Kg	130	160	145	
Asparagus	Kg	200	250	225	
Neuro	Kg	30	40	35	
Brocauli	Kg	150	175	163	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	100	110	105	
Lettuce	Kg	55	60	58	
Celery	Kg	110	120	115	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	110	120	115	
Turnip A	Kg	45	50	48	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	60	70	67	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	120	130	125	
Banana	Doz	50	55	53	
Lime	100 Pcs	500	600	567	
Pomegranate	Kg	220	230	225	
Orange	Kg	65	70	68	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	30	35	32	
Lemon	Kg	35	40	38	
Papaya	Kg	55	60	58	
Guava	Kg	25	30	28	
Mombin	Kg	22	25	24	
Ginger	Kg	80	90	87	
Chilli Dry	Kg	180	190	187	
Chilli Green	Kg	60	70	67	
Capsicum	Kg	160	180	170	
Garlic Green	Kg	80	90	87	
Coriander Green	Kg	45	50	48	
Garlic Dry Chinese	Kg	118	122	120	
Garlic Dry Nepali	Kg	90	105	98	
Clive Dry	Kg	120	130	127	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	227	
