 Daily Wholesale Price Bulletin	
Tuesday, October 21-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	55	60	58	
Tomato Small	Kg	50	55	53	
Potato Red	Kg	65	70	68	
Potato White	Kg	48	52	50	
Onion Dry	Kg	35	40	38	
Carrot	Kg	70	80	75	
Cabbage	Kg	18	22	21	
Cauli Local	Kg	45	50	48	
Raddish Red	Kg	30	35	33	
Raddish White	Kg	20	22	21	
Brinjal Long	Kg	20	25	23	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	60	65	63	
Green Peas	Kg	80	90	85	
French Bean	Kg	40	45	43	
Sword Bean	Kg	80	85	83	
Bitter Gourd	Kg	50	55	53	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	40	45	43	
Pumpkin	Kg	25	30	28	
Squash	Kg	20	25	23	
Okara	Kg	70	80	75	
Sweet Potato	Kg	70	75	73	
Barela	Kg	30	35	33	
Arum	Kg	35	40	38	
Christophine	Kg	10	12	11	
Brd Leaf Mustard	Kg	40	45	43	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	80	90	85	
Mustard Leaf	Kg	40	45	43	
Fenugreek Leaf	Kg	80	90	85	
Onion Green	Kg	60	65	63	
Yam	Kg	40	45	43	
Mushroom	Kg	130	140	135	
Asparagus	Kg	200	250	225	
Neuro	Kg	30	35	33	
Brocauli	Kg	150	170	160	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	100	110	105	
Lettuce	Kg	55	60	58	
Celery	Kg	110	120	115	
Mint	Kg	110	120	115	
Turnip A	Kg	45	50	48	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	60	70	67	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	120	130	125	
Banana	Doz	50	55	53	
Lime	100 Pcs	500	600	567	
Pomegranate	Kg	220	230	225	
Orange	Kg	65	70	68	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	80	90	85	
Mandarin	Kg	70	80	75	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	30	35	33	
Lemon	Kg	40	45	43	
Sweet Lime	Kg	40	45	43	
Pear	Kg	50	60	55	
Papaya	Kg	55	60	58	
Guava	Kg	30	35	33	
Mombin	Kg	25	30	28	
Ginger	Kg	80	90	87	
Chilli Dry	Kg	180	190	187	
Chilli Green	Kg	65	70	67	
Capsicum	Kg	190	195	192	
Garlic Green	Kg	80	90	87	
Coriander Green	Kg	50	55	52	
Garlic Dry Chinese	Kg	120	125	123	
Garlic Dry Nepali	Kg	90	100	97	
Clive Dry	Kg	130	135	133	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	225	
