 Daily Wholesale Price Bulletin	
Wednesday, October 23-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	40	45	43	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	48	50	49	
Potato White	Kg	44	45	45	
Onion Dry	Kg	110	115	113	
Carrot	Kg	70	80	75	
Cabbage	Kg	25	30	28	
Cauli Local	Kg	40	50	45	
Raddish White	Kg	40	45	43	
Brinjal Long	Kg	25	30	28	
Cow pea	Kg	35	40	38	
Green Peas	Kg	80	90	85	
French Bean	Kg	40	50	45	
Sword Bean	Kg	45	50	48	
Soyabean Green	Kg	45	50	48	
Bitter Gourd	Kg	35	40	38	
Bottle Gourd	Kg	20	25	23	
Pointed Gourd	Kg	55	60	58	
Pumpkin	Kg	14	16	15	
Squash	Kg	28	30	29	
Turnip	Kg	45	50	48	
Barela	Kg	20	25	23	
Arum	Kg	35	40	38	
Christophine	Kg	8	10	9	
Brd Leaf Mustard	Kg	25	30	28	
Spinach Leaf	Kg	25	30	28	
Cress Leaf	Kg	25	30	28	
Mustard Leaf	Kg	20	25	23	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	70	80	75	
Bakula	Kg	60	70	65	
Mushroom	Kg	130	140	135	
Asparagus	Kg	180	200	190	
Brocauli	Kg	80	90	85	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	140	150	145	
Lettuce	Kg	45	50	48	
Celery	Kg	120	130	125	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	50	60	55	
Tofu	Kg	60	70	65	
Gundruk	Kg	180	200	190	
Apple	Kg	130	140	135	
Banana	Doz	50	60	55	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	250	260	255	
Orange	Kg	70	80	75	
Water Melon	Kg	40	50	45	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	90	100	95	
Cucumber	Kg	35	40	38	
Papaya	Kg	50	60	55	
Guava	Kg	35	40	38	
Mombin	Kg	25	30	28	
Sugarcane	1 Pc	70	80	75	
Ginger	Kg	140	150	145	
Chilli Dry	Kg	160	170	165	
Chilli Green	Kg	80	90	85	
Capsicum	Kg	190	200	195	
Garlic Green	Kg	70	80	75	
Coriander Green	Kg	50	60	55	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	80	90	85	
Clive Dry	Kg	100	110	105	
Fish Fresh	Kg	220	240	230	
