 Daily Wholesale Price Bulletin	
Friday, October 25-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	55	60	58	
Tomato Small	Kg	35	45	40	
Potato Red	Kg	52	55	54	
Potato White	Kg	48	50	49	
Onion Dry	Kg	120	125	123	
Carrot	Kg	80	90	85	
Cabbage	Kg	25	30	28	
Cauli Local	Kg	45	55	50	
Raddish Red	Kg	45	50	48	
Raddish White	Kg	40	45	43	
Brinjal Long	Kg	45	50	48	
Cow pea	Kg	70	80	75	
Green Peas	Kg	90	100	95	
French Bean	Kg	65	70	68	
Sword Bean	Kg	50	55	53	
Soyabean Green	Kg	50	55	53	
Bitter Gourd	Kg	80	90	85	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	62	68	65	
Smooth Gourd	Kg	45	50	48	
Pumpkin	Kg	15	18	17	
Squash	Kg	25	30	28	
Turnip	Kg	55	60	58	
Barela	Kg	25	30	28	
Arum	Kg	35	40	38	
Christophine	Kg	10	12	11	
Brd Leaf Mustard	Kg	30	35	33	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	25	30	28	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	70	75	73	
Bakula	Kg	70	80	75	
Mushroom	Kg	140	150	145	
Asparagus	Kg	180	200	190	
Brocauli	Kg	70	80	75	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	55	60	58	
Celery	Kg	120	130	125	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	50	55	53	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	55	60	58	
Tofu	Kg	60	70	65	
Gundruk	Kg	180	200	190	
Apple	Kg	130	140	135	
Banana	Doz	50	60	55	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	250	300	275	
Orange	Kg	70	80	75	
Water Melon	Kg	50	55	53	
Sweet Orange	Kg	70	80	75	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	60	70	65	
Lemon	Kg	30	35	33	
Papaya	Kg	55	60	58	
Guava	Kg	35	40	38	
Mombin	Kg	28	30	29	
Sugarcane	1 Pc	70	80	75	
Ginger	Kg	110	120	115	
Chilli Dry	Kg	160	170	165	
Chilli Green	Kg	70	80	75	
Capsicum	Kg	220	250	237	
Garlic Green	Kg	75	80	78	
Coriander Green	Kg	70	80	75	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	70	80	75	
Clive Dry	Kg	110	120	115	
Fish Fresh	Kg	220	240	230	
