 Daily Wholesale Price Bulletin	
Sunday, November 2-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	40	50	45	
Tomato Small	Kg	26	30	28	
Potato Red	Kg	50	52	51	
Potato White	Kg	38	46	43	
Onion Dry	Kg	44	45	45	
Carrot	Kg	70	75	73	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	25	35	29	
Raddish White	Kg	20	25	23	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	70	80	75	
Green Peas	Kg	80	90	85	
French Bean	Kg	55	60	58	
Sword Bean	Kg	40	42	41	
Soyabean Green	Kg	65	70	68	
Bitter Gourd	Kg	75	80	78	
Bottle Gourd	Kg	40	45	43	
Pointed Gourd	Kg	40	45	43	
Smooth Gourd	Kg	60	70	67	
Pumpkin	Kg	24	30	27	
Squash	Kg	30	40	35	
Okara	Kg	80	90	85	
Sweet Potato	Kg	30	35	33	
Barela	Kg	16	20	18	
Arum	Kg	32	35	34	
Christophine	Kg	8	10	9	
Brd Leaf Mustard	Kg	50	60	55	
Spinach Leaf	Kg	80	90	87	
Cress Leaf	Kg	80	90	87	
Mustard Leaf	Kg	40	45	43	
Fenugreek Leaf	Kg	80	90	87	
Onion Green	Kg	40	45	43	
Yam	Kg	45	50	48	
Mushroom	Kg	120	140	128	
Neuro	Kg	60	70	65	
Brocauli	Kg	100	110	105	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	80	90	87	
Fennel Leaf	Kg	90	100	97	
Mint	Kg	140	150	145	
Turnip A	Kg	45	50	48	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	70	80	77	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	120	130	125	
Banana	Doz	60	65	63	
Lime	100 Pcs	400	500	467	
Pomegranate	Kg	230	240	235	
Orange	Kg	50	55	53	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	25	30	28	
Pear	Kg	180	190	185	
Papaya	Kg	55	60	58	
Guava	Kg	35	40	38	
Mombin	Kg	28	30	29	
Sugarcane	1 Pc	60	70	65	
Ginger	Kg	75	80	78	
Chilli Dry	Kg	180	190	187	
Chilli Green	Kg	70	80	77	
Capsicum	Kg	80	90	83	
Garlic Green	Kg	80	90	87	
Coriander Green	Kg	40	50	47	
Garlic Dry Chinese	Kg	118	120	119	
Garlic Dry Nepali	Kg	80	90	87	
Clive Dry	Kg	110	120	117	
Clive Green	Kg	90	120	107	
Fish Fresh	Kg	220	230	227	
