 Daily Wholesale Price Bulletin	
Thursday, November 6-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	28	30	29	
Tomato Small	Kg	28	34	31	
Potato Red	Kg	46	48	47	
Potato White	Kg	42	45	44	
Onion Dry	Kg	42	44	43	
Carrot	Kg	90	100	97	
Cabbage	Kg	18	22	20	
Cauli Local	Kg	30	40	35	
Raddish Red	Kg	45	50	48	
Raddish White	Kg	18	22	20	
Brinjal Long	Kg	25	30	28	
Cow pea	Kg	70	80	77	
Green Peas	Kg	80	90	87	
French Bean	Kg	45	50	48	
Sword Bean	Kg	65	70	68	
Soyabean Green	Kg	40	50	45	
Bitter Gourd	Kg	70	80	77	
Bottle Gourd	Kg	45	50	48	
Pointed Gourd	Kg	40	45	43	
Smooth Gourd	Kg	65	70	68	
Pumpkin	Kg	18	20	19	
Squash	Kg	40	45	43	
Okara	Kg	70	80	73	
Sweet Potato	Kg	25	30	28	
Barela	Kg	16	20	18	
Arum	Kg	25	30	29	
Christophine	Kg	8	12	10	
Brd Leaf Mustard	Kg	40	45	43	
Spinach Leaf	Kg	80	90	87	
Cress Leaf	Kg	80	90	87	
Mustard Leaf	Kg	45	50	48	
Fenugreek Leaf	Kg	80	90	87	
Onion Green	Kg	60	65	63	
Yam	Kg	38	40	39	
Mushroom	Kg	140	150	147	
Brocauli	Kg	90	100	93	
Red Cabbbage	Kg	80	90	87	
Lettuce	Kg	80	90	87	
Fennel Leaf	Kg	80	90	87	
Mint	Kg	140	150	145	
Turnip A	Kg	45	50	48	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	70	80	77	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	110	130	120	
Banana	Doz	55	60	58	
Lime	100 Pcs	400	500	467	
Pomegranate	Kg	270	280	275	
Orange	Kg	50	60	55	
Water Melon	Kg	55	60	58	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	20	25	23	
Pear	Kg	180	190	185	
Papaya	Kg	75	80	78	
Mombin	Kg	28	30	29	
Ginger	Kg	70	80	77	
Chilli Dry	Kg	210	220	217	
Chilli Green	Kg	60	70	63	
Capsicum	Kg	80	90	87	
Garlic Green	Kg	80	90	87	
Coriander Green	Kg	90	100	97	
Garlic Dry Chinese	Kg	115	120	118	
Garlic Dry Nepali	Kg	100	110	107	
Clive Dry	Kg	110	120	117	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	227	
