 Daily Wholesale Price Bulletin	
Saturday, November 8-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	32	31	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	48	50	49	
Potato White	Kg	42	44	43	
Onion Dry	Kg	42	44	43	
Carrot	Kg	90	100	97	
Cabbage	Kg	18	22	20	
Cauli Local	Kg	30	40	34	
Raddish Red	Kg	45	50	48	
Raddish White	Kg	18	22	20	
Brinjal Long	Kg	30	35	33	
Cow pea	Kg	60	70	67	
Green Peas	Kg	80	90	84	
French Bean	Kg	45	50	48	
Sword Bean	Kg	65	70	68	
Soyabean Green	Kg	45	50	48	
Bitter Gourd	Kg	70	80	76	
Bottle Gourd	Kg	45	50	48	
Pointed Gourd	Kg	50	55	53	
Smooth Gourd	Kg	55	60	58	
Pumpkin	Kg	18	20	19	
Squash	Kg	40	42	41	
Okara	Kg	70	80	75	
Sweet Potato	Kg	25	30	28	
Barela	Kg	25	30	28	
Arum	Kg	30	35	33	
Christophine	Kg	6	8	7	
Brd Leaf Mustard	Kg	45	50	48	
Spinach Leaf	Kg	90	100	97	
Cress Leaf	Kg	90	100	97	
Mustard Leaf	Kg	45	50	48	
Fenugreek Leaf	Kg	90	100	97	
Onion Green	Kg	60	70	67	
Yam	Kg	35	40	38	
Mushroom	Kg	140	150	146	
Brocauli	Kg	90	100	96	
Red Cabbbage	Kg	80	90	87	
Lettuce	Kg	80	90	87	
Fennel Leaf	Kg	80	90	87	
Mint	Kg	140	150	145	
Turnip A	Kg	45	50	48	
Tamarind	Kg	90	100	96	
Bamboo Shoot	Kg	70	80	76	
Tofu	Kg	60	70	67	
Gundruk	Kg	190	200	195	
Apple	Kg	110	130	120	
Banana	Doz	55	65	60	
Lime	100 Pcs	400	500	460	
Pomegranate	Kg	250	260	255	
Orange	Kg	40	45	42	
Water Melon	Kg	55	60	58	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	25	30	28	
Pear	Kg	180	190	185	
Papaya	Kg	75	80	78	
Guava	Kg	40	45	43	
Mombin	Kg	28	30	29	
Sugarcane	1 Pc	60	70	65	
Ginger	Kg	70	80	76	
Chilli Dry	Kg	200	220	212	
Chilli Green	Kg	50	60	56	
Capsicum	Kg	70	80	76	
Garlic Green	Kg	90	100	97	
Coriander Green	Kg	80	100	92	
Garlic Dry Chinese	Kg	115	120	118	
Garlic Dry Nepali	Kg	100	110	107	
Clive Dry	Kg	110	120	115	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	226	
