 Daily Wholesale Price Bulletin	
Monday, November 10-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	25	30	28	
Tomato Small	Kg	22	28	25	
Potato Red	Kg	44	48	46	
Potato White	Kg	42	44	43	
Onion Dry	Kg	41	43	42	
Carrot	Kg	60	70	67	
Cabbage	Kg	16	20	19	
Cauli Local	Kg	20	30	24	
Raddish Red	Kg	45	50	48	
Raddish White	Kg	16	18	17	
Brinjal Long	Kg	28	32	30	
Cow pea	Kg	70	80	77	
Green Peas	Kg	70	80	76	
French Bean	Kg	38	42	40	
Sword Bean	Kg	65	70	68	
Bitter Gourd	Kg	65	70	68	
Bottle Gourd	Kg	45	50	48	
Pointed Gourd	Kg	45	50	47	
Smooth Gourd	Kg	55	60	58	
Pumpkin	Kg	15	18	16	
Squash	Kg	38	40	39	
Okara	Kg	70	80	77	
Sweet Potato	Kg	25	30	28	
Barela	Kg	18	22	20	
Arum	Kg	30	35	33	
Christophine	Kg	6	10	8	
Brd Leaf Mustard	Kg	40	45	43	
Spinach Leaf	Kg	50	55	53	
Cress Leaf	Kg	80	90	87	
Mustard Leaf	Kg	40	45	43	
Fenugreek Leaf	Kg	80	90	87	
Onion Green	Kg	50	55	53	
Yam	Kg	25	30	28	
Mushroom	Kg	140	150	147	
Neuro	Kg	50	60	55	
Brocauli	Kg	60	70	67	
Sugarbeet	Kg	90	100	97	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	80	90	87	
Fennel Leaf	Kg	80	90	87	
Mint	Kg	150	160	155	
Turnip A	Kg	60	65	63	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	70	80	77	
Tofu	Kg	60	70	67	
Gundruk	Kg	190	200	195	
Apple	Kg	110	120	117	
Banana	Doz	50	55	53	
Lime	100 Pcs	400	500	467	
Pomegranate	Kg	250	260	255	
Orange	Kg	50	55	53	
Water Melon	Kg	55	60	58	
Sweet Orange	Kg	80	90	87	
Pineapple	1 Pc	80	90	87	
Cucumber	Kg	40	45	43	
Pear	Kg	180	190	185	
Papaya	Kg	70	80	75	
Guava	Kg	40	45	43	
Mombin	Kg	25	28	26	
Sugarcane	1 Pc	50	60	55	
Ginger	Kg	70	80	77	
Chilli Dry	Kg	210	220	217	
Chilli Green	Kg	40	50	47	
Capsicum	Kg	60	70	63	
Garlic Green	Kg	80	90	87	
Coriander Green	Kg	90	100	97	
Garlic Dry Chinese	Kg	115	120	118	
Garlic Dry Nepali	Kg	90	100	97	
Clive Dry	Kg	110	120	117	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	227	
