 Daily Wholesale Price Bulletin	
Tuesday, November 12-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	85	90	88	
Tomato Small	Kg	70	80	75	
Potato Red	Kg	35	36	36	
Potato White	Kg	32	34	33	
Onion Dry	Kg	100	110	105	
Carrot	Kg	90	110	100	
Cabbage	Kg	35	38	36	
Cauli Local	Kg	65	70	68	
Raddish Red	Kg	35	45	40	
Raddish White	Kg	22	25	24	
Brinjal Long	Kg	55	60	57	
Green Peas	Kg	50	60	55	
French Bean	Kg	40	48	44	
Bitter Gourd	Kg	90	100	95	
Bottle Gourd	Kg	40	48	44	
Pointed Gourd	Kg	48	50	49	
Pumpkin	Kg	20	22	21	
Squash	Kg	40	45	43	
Sweet Potato	Kg	35	40	38	
Barela	Kg	32	36	34	
Arum	Kg	35	40	38	
Christophine	Kg	16	18	17	
Brd Leaf Mustard	Kg	30	35	33	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	55	60	58	
Fenugreek Leaf	Kg	50	60	55	
Onion Green	Kg	90	100	95	
Bakula	Kg	90	100	95	
Yam	Kg	38	40	39	
Mushroom	Kg	120	130	125	
Brocauli	Kg	70	80	75	
Sugarbeet	Kg	100	120	110	
Lettuce	Kg	150	160	155	
Celery	Kg	140	150	145	
Parseley	Kg	225	250	238	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	200	210	205	
Turnip A	Kg	50	60	55	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	60	70	65	
Tofu	Kg	65	70	68	
Apple	Kg	130	150	140	
Banana	Doz	50	60	55	
Lime	100 Pcs	200	400	300	
Pomegranate	Kg	250	280	265	
Orange	Kg	70	80	75	
Water Melon	Kg	55	60	58	
Sweet Orange	Kg	70	80	75	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	35	40	37	
Papaya	Kg	60	65	63	
Mombin	Kg	28	32	30	
Sugarcane	1 Pc	50	60	55	
Ginger	Kg	100	120	110	
Chilli Dry	Kg	180	200	190	
Chilli Green	Kg	38	40	39	
Capsicum	Kg	90	100	95	
Garlic Green	Kg	100	120	110	
Coriander Green	Kg	70	80	75	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	90	100	95	
Clive Dry	Kg	140	150	145	
Fish Fresh	Kg	210	230	220	
