 Daily Wholesale Price Bulletin	
Friday, November 15-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	90	100	95	
Tomato Small	Kg	54	60	56	
Potato Red	Kg	40	45	42	
Potato White	Kg	39	40	40	
Onion Dry	Kg	103	110	106	
Carrot	Kg	75	90	82	
Cabbage	Kg	40	45	43	
Cauli Local	Kg	55	64	60	
Raddish Red	Kg	40	45	42	
Raddish White	Kg	22	28	25	
Brinjal Long	Kg	55	58	57	
Cow pea	Kg	75	80	78	
Green Peas	Kg	80	90	85	
French Bean	Kg	40	46	43	
Bitter Gourd	Kg	75	80	78	
Bottle Gourd	Kg	40	45	42	
Smooth Gourd	Kg	75	80	78	
Pumpkin	Kg	18	20	19	
Squash	Kg	30	40	35	
Turnip	Kg	50	55	53	
Okara	Kg	100	110	105	
Sweet Potato	Kg	35	40	37	
Barela	Kg	35	40	38	
Christophine	Kg	15	18	16	
Brd Leaf Mustard	Kg	30	35	33	
Spinach Leaf	Kg	50	65	58	
Cress Leaf	Kg	65	70	68	
Mustard Leaf	Kg	40	50	45	
Fenugreek Leaf	Kg	60	65	63	
Onion Green	Kg	100	120	110	
Yam	Kg	38	42	40	
Mushroom	Kg	135	150	141	
Brocauli	Kg	70	80	75	
Sugarbeet	Kg	100	120	110	
Red Cabbbage	Kg	200	250	225	
Lettuce	Kg	110	125	118	
Celery	Kg	80	90	85	
Parseley	Kg	150	175	163	
Fennel Leaf	Kg	60	65	63	
Mint	Kg	200	250	225	
Turnip A	Kg	50	55	53	
Tamarind	Kg	75	80	78	
Bamboo Shoot	Kg	70	80	75	
Tofu	Kg	65	70	68	
Apple	Kg	110	140	125	
Banana	Doz	50	60	55	
Lime	100 Pcs	200	400	288	
Pomegranate	Kg	240	260	250	
Orange	Kg	70	80	75	
Water Melon	Kg	50	55	53	
Sweet Orange	Kg	50	55	53	
Cucumber	Kg	25	32	28	
Papaya	Kg	60	70	65	
Mombin	Kg	25	32	29	
Sugarcane	1 Pc	45	50	48	
Ginger	Kg	110	130	120	
Chilli Dry	Kg	180	200	190	
Chilli Green	Kg	40	46	44	
Capsicum	Kg	90	100	95	
Garlic Green	Kg	110	120	115	
Coriander Green	Kg	60	70	65	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	90	100	95	
Clive Dry	Kg	140	150	145	
Fish Fresh	Kg	220	225	223	
