 Daily Wholesale Price Bulletin	
Wednesday, November 27-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	75	80	78	
Tomato Small	Kg	60	70	65	
Potato Red	Kg	34	36	35	
Potato White	Kg	34	36	35	
Onion Dry	Kg	60	65	63	
Carrot	Kg	70	80	75	
Cabbage	Kg	44	48	46	
Cauli Local	Kg	35	45	40	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	12	16	14	
Brinjal Long	Kg	30	35	33	
Brinjal Round	Kg	40	45	43	
Cow pea	Kg	60	70	65	
Green Peas	Kg	40	50	45	
French Bean	Kg	40	45	43	
Sword Bean	Kg	80	90	85	
Bitter Gourd	Kg	60	70	65	
Bottle Gourd	Kg	30	40	35	
Pointed Gourd	Kg	70	80	75	
Pumpkin	Kg	16	18	17	
Squash	Kg	35	40	38	
Turnip	Kg	45	50	48	
Okara	Kg	50	60	55	
Sweet Potato	Kg	38	40	39	
Barela	Kg	25	30	28	
Arum	Kg	35	40	38	
Christophine	Kg	16	18	17	
Brd Leaf Mustard	Kg	40	45	43	
Spinach Leaf	Kg	45	50	48	
Cress Leaf	Kg	45	50	48	
Mustard Leaf	Kg	40	45	43	
Fenugreek Leaf	Kg	75	80	78	
Onion Green	Kg	80	90	85	
Bakula	Kg	80	90	85	
Yam	Kg	28	32	30	
Mushroom	Kg	130	140	135	
Brocauli	Kg	40	50	45	
Sugarbeet	Kg	60	70	65	
Lettuce	Kg	55	60	58	
Celery	Kg	120	130	125	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	140	150	145	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	70	80	75	
Tofu	Kg	60	70	65	
Apple	Kg	120	130	125	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	220	240	230	
Orange	Kg	70	80	75	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	70	80	77	
Cucumber	Kg	15	20	18	
Papaya	Kg	60	70	65	
Mombin	Kg	28	32	30	
Sugarcane	1 Pc	60	70	65	
Ginger	Kg	100	110	103	
Chilli Dry	Kg	200	210	205	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	50	60	55	
Garlic Green	Kg	75	80	78	
Coriander Green	Kg	60	70	65	
Garlic Dry Chinese	Kg	90	100	95	
Garlic Dry Nepali	Kg	80	90	85	
Clive Dry	Kg	170	180	175	
Fish Fresh	Kg	220	230	225	
