 Daily Wholesale Price Bulletin	
Thursday, December 5-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	40	50	47	
Tomato Small	Kg	25	30	27	
Potato Red	Kg	30	32	31	
Potato White	Kg	28	30	29	
Onion Dry	Kg	45	50	48	
Carrot	Kg	45	50	48	
Cabbage	Kg	35	40	38	
Cauli Local	Kg	32	40	36	
Raddish Red	Kg	28	30	29	
Raddish White	Kg	15	20	18	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	40	45	43	
Cow pea	Kg	55	75	63	
Green Peas	Kg	60	70	65	
French Bean	Kg	40	45	42	
Sword Bean	Kg	55	60	58	
Bitter Gourd	Kg	65	70	68	
Bottle Gourd	Kg	35	40	38	
Pointed Gourd	Kg	60	70	65	
Pumpkin	Kg	15	20	17	
Squash	Kg	35	40	38	
Turnip	Kg	45	50	48	
Okara	Kg	90	100	95	
Sweet Potato	Kg	35	40	38	
Barela	Kg	45	50	48	
Arum	Kg	35	40	38	
Christophine	Kg	16	18	17	
Brd Leaf Mustard	Kg	15	20	18	
Spinach Leaf	Kg	45	50	48	
Cress Leaf	Kg	45	50	48	
Mustard Leaf	Kg	40	45	43	
Fenugreek Leaf	Kg	75	80	78	
Onion Green	Kg	80	90	85	
Bakula	Kg	80	90	85	
Yam	Kg	24	28	26	
Mushroom	Kg	140	150	145	
Brocauli	Kg	30	35	32	
Sugarbeet	Kg	80	90	85	
Red Cabbbage	Kg	170	180	175	
Lettuce	Kg	55	60	58	
Celery	Kg	120	130	125	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	110	120	115	
Tofu	Kg	60	70	65	
Apple	Kg	100	110	105	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	200	220	210	
Grapes	Kg	200	220	210	
Orange	Kg	60	70	65	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	70	80	75	
Cucumber	Kg	28	30	29	
Lemon	Kg	40	45	43	
Papaya	Kg	50	60	55	
Mombin	Kg	28	30	29	
Sugarcane	1 Pc	40	50	45	
Ginger	Kg	100	110	107	
Chilli Dry	Kg	200	210	205	
Chilli Green	Kg	45	50	48	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	75	80	78	
Coriander Green	Kg	70	80	73	
Garlic Dry Chinese	Kg	95	100	98	
Garlic Dry Nepali	Kg	80	90	85	
Clive Dry	Kg	170	180	175	
Fish Fresh	Kg	220	230	225	
