 Daily Wholesale Price Bulletin	
Tuesday, December 10-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	50	60	55	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	30	32	31	
Potato White	Kg	28	30	29	
Onion Dry	Kg	48	50	49	
Carrot	Kg	40	45	42	
Cabbage	Kg	25	30	27	
Cauli Local	Kg	40	50	43	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	12	16	14	
Brinjal Long	Kg	20	25	22	
Brinjal Round	Kg	40	45	43	
Cow pea	Kg	40	50	45	
Green Peas	Kg	70	80	73	
French Bean	Kg	45	55	50	
Sword Bean	Kg	55	60	58	
Bitter Gourd	Kg	70	75	73	
Bottle Gourd	Kg	35	40	38	
Pumpkin	Kg	16	18	17	
Squash	Kg	35	40	38	
Turnip	Kg	55	60	58	
Okara	Kg	75	80	78	
Sweet Potato	Kg	35	40	38	
Barela	Kg	40	50	45	
Arum	Kg	35	40	38	
Christophine	Kg	16	18	17	
Brd Leaf Mustard	Kg	12	15	14	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	55	60	58	
Bakula	Kg	60	70	65	
Yam	Kg	25	30	28	
Mushroom	Kg	150	170	160	
Brocauli	Kg	30	40	34	
Sugarbeet	Kg	70	80	75	
Red Cabbbage	Kg	250	280	265	
Lettuce	Kg	55	60	58	
Celery	Kg	120	130	125	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	120	130	127	
Tofu	Kg	60	70	65	
Apple	Kg	100	110	105	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	333	
Pomegranate	Kg	200	220	210	
Grapes	Kg	200	220	210	
Orange	Kg	50	60	53	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	70	80	75	
Cucumber	Kg	38	40	39	
Jack Fruit	Kg	130	140	135	
Lemon	Kg	40	45	43	
Papaya	Kg	50	60	55	
Guava	Kg	55	60	58	
Mombin	Kg	28	30	29	
Sugarcane	1 Pc	40	50	45	
Ginger	Kg	70	80	73	
Chilli Dry	Kg	220	230	225	
Chilli Green	Kg	45	50	48	
Capsicum	Kg	40	45	42	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	60	70	65	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	150	170	160	
Fish Fresh	Kg	220	230	225	
