 Daily Wholesale Price Bulletin	
Wednesday, December 11-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	40	50	46	
Tomato Small	Kg	28	32	30	
Potato Red	Kg	31	33	32	
Potato White	Kg	29	30	30	
Onion Dry	Kg	48	50	49	
Carrot	Kg	35	40	38	
Cabbage	Kg	25	30	27	
Cauli Local	Kg	40	50	45	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	14	16	15	
Brinjal Long	Kg	20	25	22	
Brinjal Round	Kg	40	45	43	
Cow pea	Kg	45	50	47	
Green Peas	Kg	70	80	74	
French Bean	Kg	45	50	48	
Sword Bean	Kg	55	60	58	
Bitter Gourd	Kg	60	70	65	
Bottle Gourd	Kg	40	50	44	
Pumpkin	Kg	14	16	15	
Squash	Kg	38	40	39	
Turnip	Kg	45	50	48	
Okara	Kg	70	80	75	
Sweet Potato	Kg	40	45	43	
Barela	Kg	40	45	43	
Arum	Kg	35	40	38	
Christophine	Kg	16	18	17	
Brd Leaf Mustard	Kg	12	15	14	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	45	50	48	
Onion Green	Kg	55	60	58	
Bakula	Kg	60	70	65	
Yam	Kg	30	32	31	
Mushroom	Kg	150	160	157	
Brocauli	Kg	30	40	35	
Red Cabbbage	Kg	250	260	255	
Lettuce	Kg	30	35	33	
Celery	Kg	120	130	125	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	120	130	125	
Tofu	Kg	60	70	65	
Apple	Kg	100	110	105	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	200	220	210	
Grapes	Kg	220	230	225	
Orange	Kg	50	60	55	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	38	40	39	
Lemon	Kg	40	45	43	
Papaya	Kg	50	55	53	
Mombin	Kg	28	30	29	
Sugarcane	1 Pc	40	50	45	
Ginger	Kg	80	90	84	
Chilli Dry	Kg	220	230	225	
Chilli Green	Kg	45	50	48	
Capsicum	Kg	40	45	42	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	70	80	75	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	150	160	155	
Fish Fresh	Kg	220	230	225	
