 Daily Wholesale Price Bulletin	
Friday, December 13-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	45	50	48	
Tomato Small	Kg	25	30	27	
Potato Red	Kg	30	32	31	
Potato White	Kg	28	30	29	
Onion Dry	Kg	48	50	49	
Carrot	Kg	35	40	38	
Cabbage	Kg	30	35	33	
Cauli Local	Kg	45	50	48	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	10	15	12	
Brinjal Long	Kg	20	25	23	
Brinjal Round	Kg	40	45	43	
Cow pea	Kg	40	45	43	
Green Peas	Kg	70	80	75	
French Bean	Kg	50	55	53	
Sword Bean	Kg	50	60	55	
Bitter Gourd	Kg	60	70	66	
Bottle Gourd	Kg	45	50	48	
Pumpkin	Kg	14	18	16	
Squash	Kg	35	40	38	
Turnip	Kg	45	50	48	
Okara	Kg	70	80	73	
Sweet Potato	Kg	35	40	38	
Barela	Kg	45	50	48	
Arum	Kg	35	40	38	
Christophine	Kg	18	20	19	
Brd Leaf Mustard	Kg	15	20	18	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	25	30	28	
Fenugreek Leaf	Kg	45	50	48	
Onion Green	Kg	55	60	58	
Bakula	Kg	60	70	67	
Yam	Kg	25	30	28	
Mushroom	Kg	150	160	155	
Brocauli	Kg	35	40	37	
Sugarbeet	Kg	70	80	75	
Red Cabbbage	Kg	250	260	255	
Lettuce	Kg	45	50	48	
Celery	Kg	120	130	125	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	120	130	125	
Tofu	Kg	60	70	65	
Apple	Kg	110	120	115	
Banana	Doz	40	45	43	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	210	220	215	
Grapes	Kg	200	220	210	
Orange	Kg	50	55	53	
Water Melon	Kg	50	50	50	
Sweet Orange	Kg	90	100	95	
Pineapple	1 Pc	70	80	75	
Cucumber	Kg	40	45	43	
Lemon	Kg	30	35	33	
Papaya	Kg	50	60	55	
Mombin	Kg	25	30	27	
Sugarcane	1 Pc	40	50	45	
Ginger	Kg	80	90	85	
Chilli Dry	Kg	220	230	227	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	40	45	43	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	60	70	65	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	170	180	175	
Fish Fresh	Kg	220	230	227	
