 Daily Wholesale Price Bulletin	
Monday, December 16-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	50	55	53	
Tomato Small	Kg	24	28	26	
Potato Red	Kg	30	32	31	
Potato White	Kg	28	30	29	
Onion Dry	Kg	40	42	41	
Carrot	Kg	35	40	38	
Cabbage	Kg	20	28	24	
Cauli Local	Kg	40	45	42	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	15	20	17	
Brinjal Long	Kg	20	25	22	
Brinjal Round	Kg	35	40	38	
Cow pea	Kg	40	45	42	
Green Peas	Kg	70	80	75	
French Bean	Kg	45	50	48	
Sword Bean	Kg	45	50	47	
Bitter Gourd	Kg	70	80	77	
Bottle Gourd	Kg	45	50	48	
Pumpkin	Kg	16	20	18	
Squash	Kg	30	35	33	
Turnip	Kg	45	50	48	
Okara	Kg	70	80	77	
Sweet Potato	Kg	35	40	38	
Barela	Kg	40	50	45	
Arum	Kg	35	40	38	
Christophine	Kg	18	20	19	
Brd Leaf Mustard	Kg	15	20	18	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	25	30	28	
Fenugreek Leaf	Kg	50	55	53	
Onion Green	Kg	60	70	65	
Bakula	Kg	60	70	65	
Yam	Kg	30	35	33	
Mushroom	Kg	170	180	175	
Brocauli	Kg	35	40	38	
Sugarbeet	Kg	80	90	85	
Red Cabbbage	Kg	150	170	160	
Lettuce	Kg	55	60	58	
Knolkhol	Kg	40	45	43	
Celery	Kg	120	130	125	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	120	130	125	
Turnip A	Kg	50	55	52	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	120	130	125	
Tofu	Kg	60	70	67	
Apple	Kg	100	110	105	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	200	220	210	
Grapes	Kg	200	220	210	
Orange	Kg	50	55	53	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	90	100	95	
Pineapple	1 Pc	70	80	75	
Cucumber	Kg	38	40	39	
Lemon	Kg	35	40	38	
Papaya	Kg	50	60	55	
Mombin	Kg	26	30	28	
Sugarcane	1 Pc	40	50	45	
Ginger	Kg	80	90	85	
Chilli Dry	Kg	220	230	225	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	60	70	65	
Coriander Green	Kg	60	70	67	
Garlic Dry Chinese	Kg	100	110	105	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	150	160	155	
Fish Fresh	Kg	220	230	227	
