 Daily Wholesale Price Bulletin	
Sunday, December 29-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	45	50	48	
Tomato Small	Kg	32	36	34	
Potato Red	Kg	32	33	32	
Potato White	Kg	25	26	26	
Onion Dry	Kg	31	33	32	
Carrot	Kg	25	30	28	
Cabbage	Kg	20	25	22	
Cauli Local	Kg	25	30	27	
Cauli Terai	Kg	18	20	19	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	10	15	12	
Brinjal Long	Kg	18	20	19	
Brinjal Round	Kg	35	40	38	
Cow pea	Kg	40	45	43	
Green Peas	Kg	30	35	33	
French Bean	Kg	55	60	58	
Sword Bean	Kg	40	45	43	
Bitter Gourd	Kg	80	90	85	
Bottle Gourd	Kg	35	40	38	
Pumpkin	Kg	15	18	16	
Squash	Kg	28	30	29	
Turnip	Kg	45	50	48	
Okara	Kg	150	160	155	
Sweet Potato	Kg	40	45	43	
Barela	Kg	38	40	39	
Arum	Kg	35	40	38	
Christophine	Kg	40	45	43	
Brd Leaf Mustard	Kg	15	18	17	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	45	50	48	
Onion Green	Kg	55	60	58	
Bakula	Kg	50	60	55	
Yam	Kg	28	30	29	
Mushroom	Kg	150	170	160	
Brocauli	Kg	40	45	43	
Sugarbeet	Kg	100	110	105	
Red Cabbbage	Kg	150	160	155	
Lettuce	Kg	45	50	48	
Knolkhol	Kg	35	40	38	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	35	40	38	
Mint	Kg	140	150	145	
Turnip A	Kg	35	40	38	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	130	140	135	
Tofu	Kg	60	70	65	
Gundruk	Kg	180	200	190	
Apple	Kg	100	110	105	
Banana	Doz	45	50	48	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	210	220	215	
Grapes	Kg	180	200	190	
Orange	Kg	45	50	48	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	90	100	95	
Mandarin	Kg	40	50	45	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	35	40	38	
Jack Fruit	Kg	70	80	75	
Lemon	Kg	30	35	33	
Papaya	Kg	50	55	53	
Mombin	Kg	30	35	33	
Sugarcane	1 Pc	40	50	45	
Ginger	Kg	100	110	105	
Chilli Dry	Kg	230	240	235	
Chilli Green	Kg	30	35	33	
Capsicum	Kg	50	55	53	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	60	70	67	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	150	160	155	
Clive Green	Kg	110	120	115	
Fish Fresh	Kg	220	230	225	
